Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
16,28,odontosyllis_best|TRINITY_DN44735_c5_g1_i2,67.17,6,3,3,Carbamidomethylation,156893,odontosyllis_best|TRINITY_DN44735_c5_g1_i2
25,141,odontosyllis_best|TRINITY_DN41904_c0_g1_i3,65.03,12,2,1,Carbamidomethylation,45715,odontosyllis_best|TRINITY_DN41904_c0_g1_i3
10,21,odontosyllis_best|TRINITY_DN36609_c0_g1_i1,62.93,4,2,2,,134454,odontosyllis_best|TRINITY_DN36609_c0_g1_i1
15,4699,odontosyllis_best|TRINITY_DN45378_c5_g1_i4,57.30,2,2,2,,286079,odontosyllis_best|TRINITY_DN45378_c5_g1_i4
37,42,odontosyllis_best|TRINITY_DN47034_c9_g1_i2,56.52,9,2,1,Carbamidomethylation,72781,odontosyllis_best|TRINITY_DN47034_c9_g1_i2
37,43,odontosyllis_best|TRINITY_DN47034_c9_g1_i9,56.52,8,2,1,Carbamidomethylation,83024,odontosyllis_best|TRINITY_DN47034_c9_g1_i9
20,203,odontosyllis_best|TRINITY_DN33838_c0_g1_i1,56.38,4,2,2,,127394,odontosyllis_best|TRINITY_DN33838_c0_g1_i1
27,4700,odontosyllis_best|TRINITY_DN46348_c4_g3_i1,54.54,2,1,1,,168712,odontosyllis_best|TRINITY_DN46348_c4_g3_i1
34,49,odontosyllis_best|TRINITY_DN43505_c5_g1_i4,51.77,5,2,2,,94611,odontosyllis_best|TRINITY_DN43505_c5_g1_i4
34,35,odontosyllis_best|TRINITY_DN43505_c5_g1_i8,51.77,2,2,2,,248550,odontosyllis_best|TRINITY_DN43505_c5_g1_i8
34,36,odontosyllis_best|TRINITY_DN43505_c5_g1_i3,51.77,2,2,2,,251992,odontosyllis_best|TRINITY_DN43505_c5_g1_i3
21,99,odontosyllis_best|TRINITY_DN41712_c2_g4_i1,51.72,4,2,2,,122991,odontosyllis_best|TRINITY_DN41712_c2_g4_i1
21,100,odontosyllis_best|TRINITY_DN41712_c2_g4_i2,51.72,3,2,2,,169058,odontosyllis_best|TRINITY_DN41712_c2_g4_i2
22,292,odontosyllis_best|TRINITY_DN72587_c0_g1_i1,49.82,11,2,2,Carbamidomethylation,45665,odontosyllis_best|TRINITY_DN72587_c0_g1_i1
50,179,odontosyllis_best|TRINITY_DN44194_c3_g1_i4,49.43,1,1,1,Carbamidomethylation,385769,odontosyllis_best|TRINITY_DN44194_c3_g1_i4
50,180,odontosyllis_best|TRINITY_DN44194_c3_g1_i5,49.43,1,1,1,Carbamidomethylation,387271,odontosyllis_best|TRINITY_DN44194_c3_g1_i5
50,181,odontosyllis_best|TRINITY_DN44194_c3_g1_i9,49.43,1,1,1,Carbamidomethylation,387717,odontosyllis_best|TRINITY_DN44194_c3_g1_i9
50,182,odontosyllis_best|TRINITY_DN44194_c3_g1_i10,49.43,1,1,1,Carbamidomethylation,389173,odontosyllis_best|TRINITY_DN44194_c3_g1_i10
50,170,odontosyllis_best|TRINITY_DN44194_c3_g1_i11,49.43,1,1,1,Carbamidomethylation,443050,odontosyllis_best|TRINITY_DN44194_c3_g1_i11
50,171,odontosyllis_best|TRINITY_DN44194_c3_g1_i7,49.43,1,1,1,Carbamidomethylation,444505,odontosyllis_best|TRINITY_DN44194_c3_g1_i7
50,172,odontosyllis_best|TRINITY_DN44194_c3_g1_i3,49.43,1,1,1,Carbamidomethylation,444952,odontosyllis_best|TRINITY_DN44194_c3_g1_i3
50,173,odontosyllis_best|TRINITY_DN44194_c3_g1_i12,49.43,1,1,1,Carbamidomethylation,446407,odontosyllis_best|TRINITY_DN44194_c3_g1_i12
50,174,odontosyllis_best|TRINITY_DN44194_c3_g1_i1,49.43,1,1,1,Carbamidomethylation,446453,odontosyllis_best|TRINITY_DN44194_c3_g1_i1
50,175,odontosyllis_best|TRINITY_DN44194_c3_g1_i6,49.43,1,1,1,Carbamidomethylation,447909,odontosyllis_best|TRINITY_DN44194_c3_g1_i6
50,176,odontosyllis_best|TRINITY_DN44194_c3_g1_i8,49.43,1,1,1,Carbamidomethylation,448355,odontosyllis_best|TRINITY_DN44194_c3_g1_i8
50,177,odontosyllis_best|TRINITY_DN44194_c3_g1_i13,49.43,1,1,1,Carbamidomethylation,449811,odontosyllis_best|TRINITY_DN44194_c3_g1_i13
26,71,odontosyllis_best|TRINITY_DN27005_c0_g1_i1,49.22,13,2,2,,47785,odontosyllis_best|TRINITY_DN27005_c0_g1_i1
18,45,odontosyllis_best|TRINITY_DN42583_c3_g1_i1,48.15,2,2,2,Carbamidomethylation,171819,odontosyllis_best|TRINITY_DN42583_c3_g1_i1
53,4701,odontosyllis_best|TRINITY_DN41934_c2_g3_i1,47.90,2,1,1,,159694,odontosyllis_best|TRINITY_DN41934_c2_g3_i1
53,4702,odontosyllis_best|TRINITY_DN41934_c2_g3_i2,47.90,2,1,1,,181227,odontosyllis_best|TRINITY_DN41934_c2_g3_i2
23,52,odontosyllis_best|TRINITY_DN41547_c4_g1_i1,47.54,2,2,2,,226254,odontosyllis_best|TRINITY_DN41547_c4_g1_i1
19,103,odontosyllis_best|TRINITY_DN35599_c0_g1_i2,46.72,2,1,1,,108218,odontosyllis_best|TRINITY_DN35599_c0_g1_i2
49,185,odontosyllis_best|TRINITY_DN43778_c4_g5_i2,46.03,4,2,2,,114834,odontosyllis_best|TRINITY_DN43778_c4_g5_i2
49,186,odontosyllis_best|TRINITY_DN43778_c4_g5_i1,46.03,4,2,2,,118658,odontosyllis_best|TRINITY_DN43778_c4_g5_i1
28,68,odontosyllis_best|TRINITY_DN34572_c0_g1_i3,44.32,3,1,1,,60571,odontosyllis_best|TRINITY_DN34572_c0_g1_i3
28,69,odontosyllis_best|TRINITY_DN34572_c0_g1_i1,44.32,3,1,1,,61892,odontosyllis_best|TRINITY_DN34572_c0_g1_i1
28,70,odontosyllis_best|TRINITY_DN34572_c0_g1_i2,44.32,2,1,1,,72388,odontosyllis_best|TRINITY_DN34572_c0_g1_i2
38,75,odontosyllis_best|TRINITY_DN45713_c4_g1_i5,42.57,1,1,1,,200199,odontosyllis_best|TRINITY_DN45713_c4_g1_i5
38,114,odontosyllis_best|TRINITY_DN45713_c4_g1_i4,42.57,1,1,1,,222420,odontosyllis_best|TRINITY_DN45713_c4_g1_i4
38,115,odontosyllis_best|TRINITY_DN45713_c4_g1_i12,42.57,1,1,1,,228897,odontosyllis_best|TRINITY_DN45713_c4_g1_i12
30,349,odontosyllis_best|TRINITY_DN44387_c5_g2_i1,41.01,2,1,1,,152268,odontosyllis_best|TRINITY_DN44387_c5_g2_i1
52,97,odontosyllis_best|TRINITY_DN46034_c4_g1_i1,40.41,8,2,2,,67395,odontosyllis_best|TRINITY_DN46034_c4_g1_i1
52,98,odontosyllis_best|TRINITY_DN46034_c4_g1_i2,40.41,7,2,2,,69583,odontosyllis_best|TRINITY_DN46034_c4_g1_i2
117,4703,odontosyllis_best|TRINITY_DN76983_c0_g1_i1,36.68,9,1,1,,22691,odontosyllis_best|TRINITY_DN76983_c0_g1_i1
55,25,odontosyllis_best|TRINITY_DN36784_c0_g1_i1,35.62,2,1,1,,124389,odontosyllis_best|TRINITY_DN36784_c0_g1_i1
42,4722,odontosyllis_best|TRINITY_DN43769_c1_g1_i7,35.11,1,1,1,,255553,odontosyllis_best|TRINITY_DN43769_c1_g1_i7
42,4724,odontosyllis_best|TRINITY_DN43769_c1_g1_i11,35.11,1,1,1,,257960,odontosyllis_best|TRINITY_DN43769_c1_g1_i11
42,2840,odontosyllis_best|TRINITY_DN43769_c1_g1_i13,35.11,1,1,1,,262240,odontosyllis_best|TRINITY_DN43769_c1_g1_i13
42,4725,odontosyllis_best|TRINITY_DN43769_c1_g1_i17,35.11,1,1,1,,261821,odontosyllis_best|TRINITY_DN43769_c1_g1_i17
42,4727,odontosyllis_best|TRINITY_DN43769_c1_g1_i25,35.11,1,1,1,,268508,odontosyllis_best|TRINITY_DN43769_c1_g1_i25
42,4728,odontosyllis_best|TRINITY_DN43769_c1_g1_i10,35.11,1,1,1,,268116,odontosyllis_best|TRINITY_DN43769_c1_g1_i10
42,4731,odontosyllis_best|TRINITY_DN43769_c1_g1_i9,35.11,1,1,1,,274803,odontosyllis_best|TRINITY_DN43769_c1_g1_i9
82,2696,odontosyllis_best|TRINITY_DN44651_c4_g1_i1,33.92,2,1,1,,101948,odontosyllis_best|TRINITY_DN44651_c4_g1_i1
82,2698,odontosyllis_best|TRINITY_DN44651_c4_g1_i8,33.92,3,1,1,,78732,odontosyllis_best|TRINITY_DN44651_c4_g1_i8
82,2697,odontosyllis_best|TRINITY_DN44651_c4_g1_i3,33.92,5,1,1,,46224,odontosyllis_best|TRINITY_DN44651_c4_g1_i3
82,2735,odontosyllis_best|TRINITY_DN44651_c4_g1_i2,33.92,5,1,1,,50590,odontosyllis_best|TRINITY_DN44651_c4_g1_i2
82,2736,odontosyllis_best|TRINITY_DN44651_c4_g1_i6,33.92,5,1,1,,52832,odontosyllis_best|TRINITY_DN44651_c4_g1_i6
40,234,odontosyllis_best|TRINITY_DN33336_c0_g1_i1,32.45,2,1,1,,126427,odontosyllis_best|TRINITY_DN33336_c0_g1_i1
100,89,odontosyllis_best|TRINITY_DN40311_c4_g1_i2,32.17,2,1,1,,182867,odontosyllis_best|TRINITY_DN40311_c4_g1_i2
100,90,odontosyllis_best|TRINITY_DN40311_c4_g1_i1,32.17,2,1,1,,189382,odontosyllis_best|TRINITY_DN40311_c4_g1_i1
100,165,odontosyllis_best|TRINITY_DN40311_c4_g1_i3,32.17,6,1,1,,52840,odontosyllis_best|TRINITY_DN40311_c4_g1_i3
56,4719,odontosyllis_best|TRINITY_DN44866_c3_g1_i4,31.94,1,1,1,,150669,odontosyllis_best|TRINITY_DN44866_c3_g1_i4
56,437,odontosyllis_best|TRINITY_DN44866_c3_g1_i1,31.94,1,1,1,,154738,odontosyllis_best|TRINITY_DN44866_c3_g1_i1
101,2760,odontosyllis_best|TRINITY_DN41666_c2_g1_i1,30.28,2,1,1,,83683,odontosyllis_best|TRINITY_DN41666_c2_g1_i1
101,2761,odontosyllis_best|TRINITY_DN41666_c2_g1_i2,30.28,2,1,1,,97252,odontosyllis_best|TRINITY_DN41666_c2_g1_i2
118,4706,odontosyllis_best|TRINITY_DN36138_c0_g1_i1,30.26,2,1,1,,126536,odontosyllis_best|TRINITY_DN36138_c0_g1_i1
120,2839,odontosyllis_best|TRINITY_DN44796_c1_g1_i1,28.19,1,1,1,,179377,odontosyllis_best|TRINITY_DN44796_c1_g1_i1
119,4707,odontosyllis_best|TRINITY_DN42143_c7_g9_i2,28.12,3,1,1,,72183,odontosyllis_best|TRINITY_DN42143_c7_g9_i2
119,4708,odontosyllis_best|TRINITY_DN42143_c7_g9_i3,28.12,2,1,1,,144145,odontosyllis_best|TRINITY_DN42143_c7_g9_i3
121,4710,odontosyllis_best|TRINITY_DN88284_c0_g1_i1,26.80,3,1,1,,76111,odontosyllis_best|TRINITY_DN88284_c0_g1_i1
123,2781,odontosyllis_best|TRINITY_DN41085_c7_g1_i1,26.69,8,1,1,,23207,odontosyllis_best|TRINITY_DN41085_c7_g1_i1
123,2790,odontosyllis_best|TRINITY_DN24389_c0_g1_i1,26.69,2,1,1,,77825,odontosyllis_best|TRINITY_DN24389_c0_g1_i1
124,321,odontosyllis_best|TRINITY_DN46700_c5_g3_i1,26.30,7,1,1,,24978,odontosyllis_best|TRINITY_DN46700_c5_g3_i1
124,322,odontosyllis_best|TRINITY_DN26682_c0_g1_i1,26.30,7,1,1,,25054,odontosyllis_best|TRINITY_DN26682_c0_g1_i1
124,329,odontosyllis_best|TRINITY_DN45820_c8_g1_i1,26.30,3,1,1,,59856,odontosyllis_best|TRINITY_DN45820_c8_g1_i1
124,331,odontosyllis_best|TRINITY_DN44039_c0_g3_i1,26.30,3,1,1,,65712,odontosyllis_best|TRINITY_DN44039_c0_g3_i1
124,335,odontosyllis_best|TRINITY_DN40666_c1_g8_i5,26.30,2,1,1,,112361,odontosyllis_best|TRINITY_DN40666_c1_g8_i5
74,48,odontosyllis_best|TRINITY_DN46522_c1_g2_i2,25.75,1,1,1,,476759,odontosyllis_best|TRINITY_DN46522_c1_g2_i2
125,4713,odontosyllis_best|TRINITY_DN91479_c0_g1_i1,24.49,8,1,1,,22351,odontosyllis_best|TRINITY_DN91479_c0_g1_i1
125,4714,odontosyllis_best|TRINITY_DN41790_c6_g1_i1,24.49,7,1,1,,25071,odontosyllis_best|TRINITY_DN41790_c6_g1_i1
125,4715,odontosyllis_best|TRINITY_DN42388_c5_g3_i2,24.49,4,1,1,,48793,odontosyllis_best|TRINITY_DN42388_c5_g3_i2
125,4716,odontosyllis_best|TRINITY_DN42388_c5_g3_i1,24.49,3,1,1,,65326,odontosyllis_best|TRINITY_DN42388_c5_g3_i1
128,74,odontosyllis_best|TRINITY_DN43127_c1_g7_i1,24.07,1,1,1,,120671,odontosyllis_best|TRINITY_DN43127_c1_g7_i1
128,33,odontosyllis_best|TRINITY_DN43127_c1_g6_i1,24.07,1,1,1,,186104,odontosyllis_best|TRINITY_DN43127_c1_g6_i1
128,34,odontosyllis_best|TRINITY_DN43127_c1_g6_i2,24.07,1,1,1,,187506,odontosyllis_best|TRINITY_DN43127_c1_g6_i2
102,245,odontosyllis_best|TRINITY_DN41824_c8_g1_i1,23.76,1,1,1,,295884,odontosyllis_best|TRINITY_DN41824_c8_g1_i1
102,2869,odontosyllis_best|TRINITY_DN55221_c0_g1_i1,23.76,8,1,1,,24546,odontosyllis_best|TRINITY_DN55221_c0_g1_i1
126,261,odontosyllis_best|TRINITY_DN39408_c0_g1_i1,23.74,3,1,1,,71964,odontosyllis_best|TRINITY_DN39408_c0_g1_i1
127,286,odontosyllis_best|TRINITY_DN40296_c6_g1_i2,23.34,3,1,1,,68440,odontosyllis_best|TRINITY_DN40296_c6_g1_i2
127,288,odontosyllis_best|TRINITY_DN40296_c6_g1_i4,23.34,2,1,1,,116403,odontosyllis_best|TRINITY_DN40296_c6_g1_i4
